15 112
0 3 -39
0 8 -281
0 9 -86
0 12 -262
0 14 -439
1 2 -391
1 12 -252
1 14 964
1 9 -484
1 10 -13
1 3 -210
1 11 -364
1 8 -28
1 5 -349
2 4 -267
2 5 -488
2 6 -350
2 8 -190
2 10 993
2 12 -226
2 13 5
2 14 -31
3 1 -84
3 8 266
3 9 170
3 11 -176
3 5 -159
4 0 -309
4 1 -212
4 9 -482
4 13 -460
4 14 -449
4 10 -474
4 3 64
4 11 -118
4 8 -259
4 5 -38
5 3 -123
5 6 -243
5 7 -91
5 8 -138
5 10 -170
6 0 -407
6 3 -468
6 9 -117
6 10 -34
6 14 -415
7 0 -429
7 1 -264
7 2 -328
7 4 -43
7 6 397
7 9 -20
7 10 -382
7 11 -270
7 14 -95
7 3 -279
7 8 -352
7 5 -222
8 1 135
8 4 -75
8 6 -497
8 10 -252
8 5 908
9 5 -465
9 11 -433
9 10 -199
9 14 -27
9 3 -245
9 8 -314
10 4 -170
10 11 -98
10 14 -28
10 3 -436
10 8 649
10 5 -325
11 0 447
11 1 -382
11 3 241
11 4 -97
11 6 -309
11 8 986
11 5 -253
12 4 949
12 6 -289
12 11 -322
12 13 -217
12 7 -114
12 1 -67
12 9 -244
12 10 941
12 14 -27
12 3 -336
12 8 -33
12 5 900
13 3 -190
13 5 598
13 6 -285
13 7 -311
13 8 -282
13 9 -108
13 10 -373
13 11 -387
13 14 -378
13 4 196
13 1 -333
14 3 -302
14 5 -199
14 8 70
14 10 623
14 11 -73
14 12 -364
12 5
