25 82
21 4 868.56
25 23 211.193
16 8 92.6388
14 7 179.847
14 25 918.207
25 4 695.805
24 3 464.961
20 21 284.148
4 1 403.891
3 23 613.173
20 22 920.113
13 17 765.011
1 10 814.164
6 24 653.105
17 10 726.431
12 10 404.204
17 5 163.339
8 18 764.389
1 8 264.846
22 2 142.149
3 25 789.52
21 18 119.175
8 20 911.213
13 1 636.061
11 4 365.296
6 20 48.1678
20 1 178.398
11 13 438.67
12 13 619.461
20 18 883.04
19 21 263.984
18 17 1.7057
17 18 155.107
17 3 436.792
13 20 920.354
15 9 840.687
15 21 213.859
1 19 787.396
7 21 484.719
24 18 395.16
23 11 919.92
15 14 150.735
4 20 142.322
6 7 776.345
22 25 243.111
9 21 286.838
7 1 891.093
6 9 870.07
5 22 240.04
24 16 746.742
12 25 336.593
2 21 760.854
14 19 879.506
18 8 651.627
19 10 722.58
15 10 198.745
2 11 50.7921
9 14 568.111
20 9 895.65
4 15 378.112
9 10 154.695
24 20 417.673
8 22 506.392
16 5 113.765
16 12 251.452
9 17 507.648
19 25 431.52
19 3 875.074
6 13 875.804
14 4 482.062
21 12 515.809
12 2 819.273
12 16 101.387
13 25 939.729
20 25 783.611
10 22 651.339
3 9 382.791
22 7 42.2572
21 17 413.157
19 23 126.676
5 25 252.251
3 4 270.366
1
3
6
7
4 7 2
4 5 3
4 17 6
4 5 7
4 6 9
4 24 3
1
2
6
7
4 7 2
4 5 3
4 17 6
4 5 7
4 6 9
4 24 3
8
