30 1040
24 4 5
25 3 5
27 6 5
9 2 5
8 5 5
29 28 5
28 29 4
21 29 5
28 3 4
23 24 4
4 0 4
3 27 5
23 26 5
15 19 5
1 10 5
6 28 5
20 11 5
22 22 4
11 12 5
5 5 4
21 23 4
9 8 5
1 4 4
29 24 5
20 3 4
22 28 4
1 19 4
3 11 4
22 1 5
1 5 4
14 13 4
14 19 5
21 27 5
24 8 5
20 0 5
21 4 5
3 13 4
23 28 5
10 26 5
24 6 4
22 24 4
24 15 5
20 12 5
12 28 5
16 4 4
22 4 4
7 24 5
29 7 4
24 8 4
0 27 4
10 27 4
25 7 5
18 23 4
29 10 4
24 23 5
17 16 5
27 20 4
20 22 4
22 16 4
6 17 5
2 12 4
10 15 5
23 10 5
28 3 4
17 11 4
11 0 5
10 11 4
27 23 4
9 25 5
18 4 4
18 14 4
10 19 5
20 21 5
29 13 5
2 27 4
15 27 5
4 15 5
13 16 5
29 13 4
25 13 5
3 14 5
29 0 4
23 29 5
10 26 5
2 10 4
25 7 4
24 19 4
22 27 4
5 29 4
2 4 4
4 24 5
2 17 5
16 0 4
20 25 5
18 13 4
5 15 4
12 11 4
22 7 4
3 7 4
15 7 5
12 29 4
24 27 4
28 1 4
7 14 5
10 26 5
10 11 4
3 4 5
26 11 4
7 8 4
14 2 4
3 14 5
28 28 5
17 22 4
13 7 5
10 1 5
9 0 4
1 27 4
24 19 4
21 3 5
14 13 4
16 21 4
8 22 5
5 24 5
9 5 4
11 10 5
24 23 5
2 11 5
13 23 4
14 27 4
14 13 5
9 3 5
11 15 5
24 10 5
27 19 5
11 4 5
5 15 5
10 29 5
7 26 4
16 11 5
23 17 4
6 16 4
0 14 5
6 5 5
26 5 4
6 4 4
7 6 5
13 14 4
2 27 5
12 18 4
17 27 5
29 10 4
20 3 5
7 4 4
4 17 4
7 1 5
23 21 4
6 24 4
9 8 5
9 12 4
23 15 4
2 29 4
5 24 5
0 7 5
7 21 4
14 10 5
8 7 5
13 6 5
18 16 4
15 5 4
12 14 4
18 5 5
8 11 5
11 4 5
23 1 5
26 28 5
0 23 5
2 23 4
9 10 4
20 8 4
25 21 4
3 15 5
0 14 4
23 8 5
2 27 4
26 10 4
21 20 4
5 15 4
12 22 5
15 7 4
12 27 4
18 28 5
14 25 5
24 14 5
15 5 4
7 9 5
15 0 5
14 9 4
28 29 4
21 22 5
9 14 4
1 28 5
16 1 5
2 28 5
20 2 4
24 1 5
6 21 5
4 5 5
12 15 5
29 4 5
19 24 4
13 13 4
7 24 5
2 27 4
2 5 5
11 18 5
5 24 4
1 8 4
25 15 5
12 18 5
5 18 5
8 24 4
10 0 5
29 8 4
5 3 4
11 5 4
25 14 4
10 18 5
26 27 4
1 28 5
5 8 5
12 16 5
17 28 4
12 17 5
16 9 4
21 3 5
22 16 4
20 24 5
5 5 4
3 26 5
20 5 5
0 1 5
3 26 4
20 0 4
13 11 5
13 15 5
14 4 4
25 7 5
7 11 4
5 17 4
21 14 5
3 21 5
7 6 4
11 0 5
22 7 5
8 2 5
14 7 5
24 15 5
26 21 5
10 6 5
27 3 4
27 25 5
9 24 4
7 19 5
17 0 4
12 23 4
14 4 4
5 12 4
11 2 5
17 29 4
22 20 5
20 2 5
19 1 5
2 8 4
9 15 5
19 29 4
15 24 5
21 7 5
9 15 5
9 20 4
20 18 4
23 13 4
20 2 4
7 2 4
15 8 4
13 14 5
3 13 4
26 3 5
29 28 5
19 8 5
21 7 4
20 14 4
1 20 5
20 14 4
27 7 5
6 27 5
9 25 5
10 6 5
13 20 5
0 6 5
21 11 5
27 19 4
8 13 4
12 0 4
13 23 5
9 9 5
6 14 4
1 24 4
14 21 4
14 6 4
16 10 5
18 8 4
16 22 5
7 9 5
24 8 5
22 0 4
26 8 5
2 2 5
27 20 5
16 29 4
27 19 5
19 28 5
0 19 5
28 0 4
17 21 5
7 9 4
3 18 4
13 29 4
15 19 5
23 21 4
2 19 4
12 13 5
0 24 4
7 10 5
9 17 5
16 8 5
25 7 4
9 22 4
25 28 4
19 28 4
21 19 5
16 22 5
5 16 4
21 5 5
24 29 5
6 23 4
25 3 4
1 9 4
25 13 5
10 3 5
6 18 4
23 12 5
22 29 4
5 23 4
29 20 5
2 25 5
11 15 4
25 29 4
25 11 5
20 2 5
0 15 5
10 22 4
18 17 5
7 28 4
7 22 5
7 3 4
9 20 5
10 7 5
24 11 5
20 28 5
15 13 5
0 4 4
29 12 5
8 5 4
2 24 4
12 23 5
13 11 5
23 19 4
27 24 4
22 20 4
17 6 4
23 29 5
6 9 4
20 20 4
28 25 4
23 27 4
26 25 4
29 14 5
16 26 5
17 4 4
19 5 5
12 19 5
13 24 4
23 2 4
15 16 5
2 22 4
5 4 4
20 13 4
13 5 5
14 5 4
5 1 4
25 9 5
5 27 4
20 24 5
7 24 4
26 4 5
9 0 4
25 12 5
23 29 4
15 0 4
8 24 5
6 5 4
2 27 4
17 6 5
22 22 5
17 17 4
14 19 5
2 17 5
5 19 5
21 0 5
7 29 5
23 17 5
16 27 4
17 27 4
11 3 4
25 17 4
12 25 4
6 18 5
1 18 5
0 13 5
14 10 4
1 6 4
19 5 5
3 28 4
22 4 4
5 20 4
20 19 4
8 29 5
13 20 5
14 10 5
10 13 5
3 21 4
25 25 4
26 25 4
5 6 5
16 10 5
11 12 4
6 21 5
25 2 5
3 1 4
19 4 4
18 11 5
5 1 4
27 4 5
11 22 4
1 0 5
13 28 4
29 27 5
13 23 5
15 21 4
22 11 5
4 6 4
1 28 4
9 12 4
24 9 4
14 26 5
12 0 4
25 0 5
1 25 5
10 2 4
9 1 4
5 23 5
5 9 4
26 1 4
8 29 5
16 14 5
27 29 4
8 2 4
11 13 5
22 10 5
4 3 4
5 26 4
29 1 5
15 11 4
9 5 4
6 25 5
5 20 4
14 12 5
9 3 4
22 3 5
2 16 5
5 8 5
17 8 4
4 9 4
23 26 4
2 5 4
0 1 4
13 27 4
29 26 5
5 19 4
18 9 5
13 26 4
0 29 5
9 17 4
1 1 5
8 8 4
13 15 5
22 16 5
15 2 4
2 21 5
27 27 5
16 19 4
10 24 5
10 19 4
8 22 5
0 12 4
24 20 4
18 21 5
19 21 4
21 27 5
18 8 4
20 23 5
14 11 5
1 11 5
8 10 4
18 0 5
11 3 4
3 23 5
18 14 5
26 14 5
11 22 5
1 3 4
7 2 5
23 3 5
29 20 5
3 6 5
20 3 4
3 20 5
27 9 5
19 6 5
28 17 5
22 21 4
29 22 4
29 25 5
2 2 5
10 2 4
20 20 4
17 23 5
2 11 4
6 6 4
2 23 5
6 29 4
4 16 5
6 9 5
17 14 5
4 11 5
0 3 4
8 5 4
11 15 4
2 25 4
23 3 4
3 8 5
8 8 5
18 27 5
6 12 4
20 2 5
9 12 4
19 18 4
16 28 4
5 15 4
29 23 5
14 27 5
3 11 5
8 24 4
29 20 5
12 22 4
22 18 5
1 16 4
21 23 5
20 14 4
17 3 5
2 2 4
1 12 4
19 2 5
23 15 4
3 13 5
8 3 5
4 11 4
3 4 5
5 0 4
14 9 4
9 10 4
2 7 4
26 15 5
14 16 4
5 25 4
28 2 5
27 29 5
25 16 5
9 27 4
17 18 5
29 16 4
27 7 4
11 0 4
25 20 5
12 23 5
21 12 5
18 17 4
16 11 5
4 18 5
3 26 5
10 22 5
8 8 4
15 17 5
19 17 4
10 29 4
23 13 5
12 9 4
29 16 5
22 27 4
17 12 4
3 28 4
3 8 5
9 6 5
17 28 5
28 22 4
12 7 4
22 15 5
5 22 5
22 16 4
20 20 4
13 9 4
11 2 4
24 21 4
9 4 5
19 1 5
27 15 4
21 2 4
11 28 5
16 14 5
13 1 4
24 12 5
3 3 4
15 3 4
10 16 4
11 9 4
7 5 5
7 2 4
0 27 4
19 26 5
22 4 5
27 28 5
27 17 4
13 27 4
13 22 5
6 10 4
1 23 5
20 10 5
23 19 5
12 26 4
25 24 4
9 19 5
20 23 4
25 0 5
0 19 4
28 29 4
6 1 5
26 27 5
25 10 5
29 27 4
8 19 5
18 12 4
29 4 4
0 20 4
27 5 5
21 13 4
9 25 5
22 29 5
