25 282
20 3 779
24 22 -535
15 7 -772
13 6 -598
13 24 878
24 3 433
23 2 -28
19 20 -390
3 0 -150
2 22 268
19 21 882
12 16 572
0 9 670
5 23 348
16 9 495
11 9 -150
16 4 -631
7 17 570
0 7 -428
21 1 -673
2 24 621
20 17 -719
7 19 864
12 0 314
10 3 -227
5 19 -861
19 0 -601
10 12 -81
11 12 281
19 17 808
18 20 -430
17 16 -954
16 17 -647
16 2 -84
12 19 882
14 8 723
14 20 -530
0 18 616
6 20 11
23 17 -168
22 10 881
14 13 -656
3 19 -673
5 6 594
21 24 -472
8 20 -384
6 0 824
5 8 782
4 21 -478
23 15 535
11 24 -285
1 20 563
13 18 801
17 7 345
18 9 487
14 9 -560
1 10 -856
8 13 178
19 8 833
3 14 -202
8 9 -648
23 19 -123
7 21 55
15 4 -730
15 11 -455
8 16 57
18 24 -95
18 2 792
5 12 793
13 3 6
20 11 74
11 1 680
11 15 -755
12 24 921
19 24 609
9 21 344
2 8 -192
21 6 -873
20 16 -132
18 22 -704
4 24 -453
2 3 -417
3 20 709
1 14 244
13 0 -681
17 21 65
15 10 -286
4 12 -695
10 9 -814
19 5 -882
3 6 -607
12 5 619
10 24 -864
20 22 -380
23 1 -18
6 12 85
8 22 768
0 2 -647
9 5 -496
6 10 -15
2 5 -706
12 23 873
23 16 144
18 1 -124
5 13 -282
8 0 -182
1 22 -635
6 18 -710
16 12 -94
9 13 419
18 15 -597
7 4 -219
9 8 241
20 19 325
2 9 824
11 19 -377
12 22 -123
12 11 491
7 2 16
9 12 710
20 9 566
22 16 84
9 3 598
4 13 861
8 24 842
6 21 -928
13 9 235
19 14 -45
7 0 -56
22 5 -586
21 22 -586
11 5 -676
4 5 -523
19 10 -52
10 15 -605
14 22 435
24 8 -117
17 2 398
6 4 -175
11 6 -879
15 19 405
20 2 -336
7 16 -348
19 12 -742
0 6 823
2 12 -299
14 7 -504
24 11 -549
24 15 90
4 16 -386
9 15 -254
3 24 517
0 22 739
23 22 -925
2 19 -457
3 16 -399
3 21 425
5 2 4
16 0 -11
0 19 -410
22 9 750
1 4 27
0 10 468
17 12 -472
11 10 777
6 15 833
21 15 586
12 14 28
4 6 -499
14 12 -364
24 5 408
18 12 -341
11 7 -845
13 1 713
1 23 42
7 20 -834
20 5 427
17 3 -585
16 10 36
23 24 -687
10 6 624
12 2 781
3 1 -627
17 9 225
20 4 582
9 1 -427
13 22 -160
15 16 -613
15 12 -399
20 10 -270
0 20 929
4 2 -14
9 4 -579
21 12 -568
8 15 867
21 23 -206
18 4 -443
24 10 123
13 14 850
3 10 128
24 13 -381
18 13 -494
17 20 320
7 3 733
24 16 -631
18 0 -839
14 3 733
2 16 -944
4 11 -252
12 3 -315
16 5 -237
14 10 435
12 21 -728
17 14 -509
5 11 -221
0 14 475
6 16 -402
1 15 -52
6 24 622
22 18 524
8 5 161
22 2 -240
22 21 729
8 6 306
0 1 -143
19 7 -16
4 10 -148
9 2 531
14 24 -56
18 17 258
17 1 266
15 0 55
1 7 -346
12 20 431
17 6 899
18 8 351
2 17 213
1 19 -79
10 17 -785
1 6 -827
3 13 -420
6 11 -32
11 2 720
3 12 902
23 18 264
6 23 432
16 11 -405
1 16 218
5 22 322
11 16 19
0 5 196
0 11 -103
8 7 546
12 18 -178
8 18 206
18 6 -322
22 20 -443
21 19 -931
4 22 -408
14 2 -794
14 23 352
22 13 923
10 22 277
0 15 533
23 0 -559
14 17 287
15 3 -96
13 16 311
8 1 311
5 10 -128
21 0 639
7 14 946
6 8 -349
5 16 892
11 17 267
18 16 -589
13 8 424
20 24 869
2 21 -749
8 10 649
11 13 -257
5 15 -17
