100 1000
46 2 74
15 32 80
89 33 49
19 9 43
74 24 33
77 55 48
64 60 26
3 90 23
67 0 10
98 68 31
12 19 54
47 86 1
88 75 97
32 7 35
50 73 5
14 78 14
5 24 100
95 49 100
39 90 91
11 1 90
19 90 95
53 81 35
84 75 78
72 88 90
62 42 28
67 44 11
64 98 94
15 56 57
19 50 62
37 12 9
88 65 16
74 23 60
33 99 17
5 4 52
24 54 83
60 36 78
55 27 48
15 87 67
69 97 48
74 79 31
92 91 61
63 25 40
56 35 80
3 73 32
11 9 54
84 3 36
85 9 93
62 16 48
90 40 15
44 60 16
20 36 48
43 58 46
67 86 76
59 16 49
47 50 2
3 51 11
43 67 68
34 89 69
74 67 28
26 96 2
86 92 60
84 71 97
52 1 83
60 89 14
92 86 62
86 38 33
31 16 86
26 5 65
40 47 88
84 48 24
38 44 57
59 46 46
20 12 97
24 0 6
28 65 8
8 87 57
48 26 58
96 82 9
37 44 44
1 50 3
93 49 54
93 9 44
8 5 82
44 18 95
39 66 70
80 1 36
50 21 49
61 75 30
98 79 63
0 29 49
26 44 93
77 71 40
31 62 50
65 89 20
59 76 55
27 24 13
17 31 90
22 33 88
56 40 24
88 7 97
92 3 72
56 11 9
49 71 14
37 94 97
59 30 63
70 12 92
88 66 83
49 98 69
22 87 14
49 87 97
22 25 64
0 34 77
25 10 9
74 0 23
9 18 76
3 45 66
83 9 55
58 47 82
61 80 83
45 0 84
45 98 1
57 64 76
72 55 77
5 72 12
13 39 92
36 18 18
56 25 81
45 0 17
76 39 49
2 65 33
65 91 52
64 49 86
13 78 1
45 52 32
45 92 11
25 87 21
79 46 25
6 60 11
75 44 11
98 41 15
30 84 28
79 44 33
33 50 28
68 28 21
42 93 7
2 21 98
2 11 91
54 41 36
90 15 66
78 14 59
96 21 5
6 33 69
36 38 37
37 27 12
65 44 78
52 62 8
6 41 25
8 25 62
0 26 39
34 19 55
98 79 87
39 36 99
6 67 76
43 27 80
99 38 88
56 87 26
60 35 83
41 20 90
42 24 22
87 78 5
34 0 83
89 3 51
21 90 100
22 40 67
3 22 98
94 50 56
51 86 48
72 30 41
53 12 97
22 27 57
22 82 58
31 39 46
42 5 88
18 5 37
88 5 13
63 64 66
64 50 17
33 99 58
75 52 51
37 84 23
4 94 20
34 29 25
46 87 33
2 21 85
85 67 34
78 64 53
23 80 74
5 28 98
71 24 96
43 34 96
80 30 9
34 14 66
44 45 97
2 12 59
73 46 71
42 84 86
25 36 58
61 7 9
33 70 1
20 21 84
15 70 44
45 50 48
35 37 7
82 21 58
34 78 93
18 32 78
52 1 64
33 76 33
57 74 92
45 50 28
41 88 39
39 97 44
30 5 59
60 37 40
57 41 93
38 97 24
0 93 60
98 28 7
32 95 68
11 97 68
30 70 24
40 12 82
24 94 92
64 11 62
23 56 19
45 64 83
57 66 5
37 5 88
34 58 22
83 39 33
80 45 37
59 93 95
38 9 60
57 21 40
19 31 9
36 79 19
27 68 38
59 19 82
48 49 31
83 8 100
63 43 27
17 67 51
94 13 95
43 94 97
28 42 76
59 94 93
93 98 49
20 6 69
