100 500
2 69 33
65 15 38
34 7 31
2 0 10
50 24 40
73 80 60
81 74 74
65 76 17
76 6 88
11 14 100
40 87 89
59 19 1
83 92 11
71 33 17
26 76 61
16 28 27
6 26 7
61 52 27
87 84 52
38 54 75
66 24 6
78 68 50
66 96 93
49 15 71
50 27 84
10 24 67
17 91 41
46 33 33
70 13 41
78 4 42
4 46 20
29 42 54
17 37 75
27 56 67
74 53 32
7 90 85
5 76 38
11 89 50
66 40 38
83 30 13
60 63 67
21 63 32
39 40 76
27 33 60
33 87 63
92 1 60
61 50 25
23 87 77
12 42 88
38 62 92
29 48 86
71 1 85
4 6 9
41 77 97
31 70 81
57 82 74
58 96 38
54 76 57
64 61 74
21 44 62
18 91 63
29 15 42
64 78 50
13 47 81
31 74 52
70 59 14
68 31 73
84 16 14
83 84 49
79 1 39
27 5 17
76 18 29
56 92 70
48 18 57
18 86 90
10 42 25
40 99 6
47 4 48
44 51 27
70 11 32
97 74 7
90 78 65
22 79 4
52 91 96
27 72 77
24 63 98
48 70 67
88 50 100
17 36 91
58 29 19
59 23 38
2 61 41
13 0 52
28 8 10
72 60 36
12 30 77
80 77 21
92 97 44
42 36 3
56 85 76
69 58 90
82 55 18
71 6 63
26 42 5
87 4 69
17 87 23
77 17 49
58 14 76
40 84 40
69 28 11
35 98 29
23 47 32
61 51 73
73 46 75
2 15 96
79 53 39
68 26 35
29 68 7
26 39 26
81 33 23
84 2 8
97 8 81
53 58 49
86 40 15
22 78 32
48 65 80
10 60 3
57 35 57
13 5 73
7 78 90
60 25 36
18 24 96
68 48 4
73 79 96
98 18 32
46 34 76
24 96 39
17 39 29
2 33 58
19 43 69
87 77 30
60 94 99
6 80 32
11 71 13
9 22 12
56 98 16
3 33 79
29 92 9
40 25 46
17 53 60
23 5 15
49 94 45
9 72 35
12 41 33
89 55 68
24 11 41
93 34 9
96 59 49
2 13 44
83 22 20
91 51 29
37 98 37
38 25 55
75 84 70
22 63 19
32 58 67
65 36 76
79 63 34
39 57 54
11 59 99
57 43 71
60 65 75
7 41 95
96 23 93
47 92 39
62 27 33
74 95 22
3 83 67
40 59 5
94 38 58
26 32 22
51 99 84
9 73 20
66 43 56
4 97 15
